Img TS,Img name,Enc TS,Encoder counts 1,Encoder counts 0
1746051732.7373729,Image_276.jpg,1746051732.740615,-37,-351
1746051732.9390304,Image_277.jpg,1746051732.9424417,-69,-344
1746051733.140402,Image_278.jpg,1746051733.1439638,-105,-332
1746051733.3382025,Image_279.jpg,1746051733.3413737,-137,-323
1746051733.5345755,Image_280.jpg,1746051733.5377796,-169,-302
1746051733.7402794,Image_281.jpg,1746051733.744717,-199,-293
1746051733.9381008,Image_282.jpg,1746051733.9416971,-227,-268
1746051734.138268,Image_283.jpg,1746051734.1414137,-251,-240
1746051734.3366768,Image_284.jpg,1746051734.340182,-274,-216
1746051734.538629,Image_285.jpg,1746051734.5421858,-295,-194
1746051734.7365806,Image_286.jpg,1746051734.7398546,-313,-154
1746051734.936452,Image_287.jpg,1746051734.940189,-327,-119
1746051735.1404653,Image_288.jpg,1746051735.1439152,-338,-97
1746051735.3386211,Image_289.jpg,1746051735.3421159,-345,-63
1746051735.5380392,Image_290.jpg,1746051735.5412076,-349,-29
1746051735.7402127,Image_291.jpg,1746051735.7434332,-350,5
1746051735.9385083,Image_292.jpg,1746051735.9417758,-345,55
1746051736.1420195,Image_293.jpg,1746051736.1453369,-344,86
1746051736.3393226,Image_294.jpg,1746051736.3431892,-331,112
1746051736.5382965,Image_295.jpg,1746051736.5416102,-317,141
1746051736.7410066,Image_296.jpg,1746051736.7445216,-300,181
1746051736.9363503,Image_297.jpg,1746051736.939381,-281,205
1746051737.1370554,Image_298.jpg,1746051737.1403444,-257,233
1746051737.3341658,Image_299.jpg,1746051737.33743,-233,260
1746051737.5380087,Image_300.jpg,1746051737.5410185,-208,280
1746051737.7410657,Image_301.jpg,1746051737.7465248,-180,301
1746051737.9391408,Image_302.jpg,1746051737.9427507,-149,318
1746051738.1417959,Image_303.jpg,1746051738.1455138,-115,332
1746051738.3400826,Image_304.jpg,1746051738.3432658,-83,340
1746051738.5393877,Image_305.jpg,1746051738.5430303,-47,346
1746051738.7404606,Image_306.jpg,1746051738.7451558,-15,351
1746051738.9367735,Image_307.jpg,1746051738.940036,22,351
1746051739.1383793,Image_308.jpg,1746051739.1417885,54,351
1746051739.3398287,Image_309.jpg,1746051739.344366,91,339
1746051739.5375664,Image_310.jpg,1746051739.540902,124,329
1746051739.7415,Image_311.jpg,1746051739.7454312,155,317
1746051739.9388573,Image_312.jpg,1746051739.9424756,187,289
1746051740.1378844,Image_313.jpg,1746051740.1415126,216,279
1746051740.340715,Image_314.jpg,1746051740.344132,242,252
1746051740.5390108,Image_315.jpg,1746051740.542663,268,223
1746051740.7373965,Image_316.jpg,1746051740.7405765,288,202
1746051740.9384954,Image_317.jpg,1746051740.9419262,306,168
1746051741.1386003,Image_318.jpg,1746051741.1421776,320,137
1746051741.3382835,Image_319.jpg,1746051741.3418689,335,110
1746051741.537874,Image_320.jpg,1746051741.5412352,343,73
1746051741.7420213,Image_321.jpg,1746051741.746317,348,43
1746051741.9358091,Image_322.jpg,1746051741.939678,350,9
1746051742.13755,Image_323.jpg,1746051742.141147,351,-43
1746051742.336184,Image_324.jpg,1746051742.3396883,344,-68
1746051742.539797,Image_325.jpg,1746051742.5435374,335,-96
1746051742.7376456,Image_326.jpg,1746051742.740719,324,-140
1746051742.9389064,Image_327.jpg,1746051742.9427912,309,-160
1746051743.1373236,Image_328.jpg,1746051743.1406548,292,-197
1746051743.3358078,Image_329.jpg,1746051743.3394134,271,-224
1746051743.5433857,Image_330.jpg,1746051743.5472252,246,-248
1746051743.7380462,Image_331.jpg,1746051743.740769,221,-272
1746051743.9375448,Image_332.jpg,1746051743.9408345,192,-292
1746051744.141468,Image_333.jpg,1746051744.1458697,162,-308
1746051744.3419356,Image_334.jpg,1746051744.3457768,128,-330
1746051744.5398889,Image_335.jpg,1746051744.5439086,98,-333
1746051744.737303,Image_336.jpg,1746051744.7407107,61,-347
1746051744.9407911,Image_337.jpg,1746051744.944004,26,-350
1746051745.1416197,Image_338.jpg,1746051745.1452708,-9,-350
1746051745.3378618,Image_339.jpg,1746051745.3411863,-43,-350
1746051745.5367267,Image_340.jpg,1746051745.5398893,-78,-343
1746051745.738777,Image_341.jpg,1746051745.7420788,-112,-330
1746051745.9385214,Image_342.jpg,1746051745.9416704,-145,-321
1746051746.1388474,Image_343.jpg,1746051746.1422179,-174,-299
1746051746.3385537,Image_344.jpg,1746051746.3425872,-204,-281
1746051746.5419374,Image_345.jpg,1746051746.5465655,-231,-267
1746051746.7395236,Image_346.jpg,1746051746.7433603,-257,-234
1746051746.9367204,Image_347.jpg,1746051746.9405582,-280,-212
1746051747.1382623,Image_348.jpg,1746051747.1418703,-299,-189
1746051747.3360558,Image_349.jpg,1746051747.3395398,-315,-158
1746051747.5382733,Image_350.jpg,1746051747.5421178,-329,-117
1746051747.7367983,Image_351.jpg,1746051747.7402208,-336,-79
1746051747.9381802,Image_352.jpg,1746051747.941208,-346,-42
1746051748.1372569,Image_353.jpg,1746051748.1405659,-351,-10
1746051748.337504,Image_354.jpg,1746051748.3410509,-351,19
1746051748.535954,Image_355.jpg,1746051748.5409577,-344,61
1746051748.7338367,Image_356.jpg,1746051748.7373364,-341,92
1746051748.9364898,Image_357.jpg,1746051748.939743,-329,118
1746051749.1347315,Image_358.jpg,1746051749.1379063,-314,154
1746051749.3361535,Image_359.jpg,1746051749.339483,-298,184
1746051749.533828,Image_360.jpg,1746051749.53717,-278,211
1746051749.7340019,Image_361.jpg,1746051749.7371974,-254,242
1746051749.936103,Image_362.jpg,1746051749.939326,-232,262
1746051750.1344235,Image_363.jpg,1746051750.137654,-203,289
1746051750.3354952,Image_364.jpg,1746051750.338747,-175,302
1746051750.534776,Image_365.jpg,1746051750.5380797,-144,319
1746051750.7371,Image_366.jpg,1746051750.740654,-112,332
1746051750.9360816,Image_367.jpg,1746051750.941015,-77,343
1746051751.1370654,Image_368.jpg,1746051751.1410084,-44,347
1746051751.3337536,Image_369.jpg,1746051751.3373618,-9,350
1746051751.5352638,Image_370.jpg,1746051751.5387778,27,351
1746051751.7336462,Image_371.jpg,1746051751.7385657,62,341
1746051751.933039,Image_372.jpg,1746051751.9366345,97,335
1746051752.13715,Image_373.jpg,1746051752.140242,130,326
1746051752.3333533,Image_374.jpg,1746051752.3365803,162,316
1746051752.5352058,Image_375.jpg,1746051752.5393596,192,293
1746051752.734446,Image_376.jpg,1746051752.7377977,220,263
1746051752.9343827,Image_377.jpg,1746051752.9373987,247,251
1746051753.1358645,Image_378.jpg,1746051753.1386435,270,229
1746051753.334819,Image_379.jpg,1746051753.3382978,291,194
1746051753.5337682,Image_380.jpg,1746051753.5374203,310,167
1746051753.7336369,Image_381.jpg,1746051753.7372885,324,132
1746051753.93327,Image_382.jpg,1746051753.936441,335,105
1746051754.13537,Image_383.jpg,1746051754.1385546,343,68
1746051754.3338623,Image_384.jpg,1746051754.3372848,349,40
1746051754.533243,Image_385.jpg,1746051754.53636,349,7
1746051754.7338622,Image_386.jpg,1746051754.7371793,349,-35
1746051754.9339468,Image_387.jpg,1746051754.9371552,343,-70
1746051755.1356952,Image_388.jpg,1746051755.1387982,334,-98
1746051755.3339744,Image_389.jpg,1746051755.3378592,321,-142
1746051755.5370991,Image_390.jpg,1746051755.5403478,306,-170
1746051755.735708,Image_391.jpg,1746051755.7394984,287,-200
1746051755.9345424,Image_392.jpg,1746051755.9376295,266,-231
1746051756.1341856,Image_393.jpg,1746051756.1371956,243,-250
1746051756.3343403,Image_394.jpg,1746051756.3375072,216,-278
1746051756.5333264,Image_395.jpg,1746051756.536876,183,-296
1746051756.7388716,Image_396.jpg,1746051756.7426674,156,-313
1746051756.9359298,Image_397.jpg,1746051756.9390388,125,-331
1746051757.1363063,Image_398.jpg,1746051757.1397414,91,-333
1746051757.3300536,Image_399.jpg,1746051757.333739,57,-348
1746051757.5334883,Image_400.jpg,1746051757.537143,21,-350
1746051757.7334468,Image_401.jpg,1746051757.7366636,-14,-350
1746051757.932417,Image_402.jpg,1746051757.9358628,-49,-351
1746051758.1339993,Image_403.jpg,1746051758.137334,-82,-338
1746051758.3319192,Image_404.jpg,1746051758.3354225,-115,-330
1746051758.5322113,Image_405.jpg,1746051758.5353231,-149,-318
1746051758.7353828,Image_406.jpg,1746051758.7385063,-179,-301
