pitch_angle_model,pitch_velocity_model,yaw_angle_model,yaw_velocity_model,ref_pitch,ref_pitch_vel,ref_yaw,ref_yaw_vel,pitch_input,yaw_input
15.234855180011646,51.37118850333193,0.2272131019341931,0.766151496156151,9.972707794521341,-0.36915418360533,0.73830836721066,4.9863538972606705,1000.0,-970.6102575941283
11.164311998841454,-93.19271942363727,0.6005121544250731,5.230610914268954,9.923068791031945,-0.61901247330886,1.23802494661772,4.961534395515972,-845.537242280707,1000.0
7.431183642665519,-0.7079502523071142,1.3550770222688948,8.404872239039431,9.848784728352474,-0.8662331346945631,1.7324662693891262,4.924392364176237,699.8521458337935,-456.41605468404833
7.46402013199506,0.9339541968692158,1.9023176896877545,3.2963532052616564,9.749884159047191,-1.111278417539978,2.222556835079956,4.874942079523596,318.57670091370187,-183.58316115119123
7.425348523041861,-1.1601163972475612,2.2593665804694383,3.4756937373199657,9.626534664293105,-1.353682972224592,2.707365944449184,4.813267332146553,319.35036203428405,-119.07302127499744
7.297548963551955,-1.2597512302359233,2.6242134086475972,3.496869599888963,9.479393093260585,-1.5922552075157037,3.1845104150314074,4.7396965466302925,333.16393907857395,-110.50829225208939
7.156051946755043,-1.40454060596283,2.986704097979394,3.4345789915476304,9.308211741116862,-1.8273747687963595,3.654749537592719,4.654105870558431,338.06771664966647,-93.97115227531198
6.998136798834274,-1.5723302703352147,3.340418759669126,3.346595722895979,9.114024697059033,-2.0575807287563466,4.115161457512693,4.557012348529517,342.0865102350572,-77.0612608733458
6.822603146679244,-1.740663172563744,3.6856846726531103,3.2695809647127274,8.897060913892405,-2.28266878316194,4.56533756632388,4.4485304569462025,345.57997030223623,-59.72231625994306
6.6297190383375595,-1.9027382165455984,4.022307928277878,3.1799705460819876,8.657707128175954,-2.5022043922675103,5.004408784535021,4.328853564087977,348.13330421136624,-42.37253594272988
6.420016954126756,-2.0597186918967973,4.349201672559337,3.080994537592606,8.396467666029597,-2.7156643171293964,5.431328634258793,4.198233833014799,349.8161618948695,-24.8958459942114
6.194759445948143,-2.2072446156796253,4.664464965509775,2.9687791457023875,8.114543547094007,-2.9220790125488993,5.844158025097799,4.057271773547003,350.6045152924652,-7.496254679011088
5.953567025429774,-2.3581324221613094,4.968616346835,2.861182050508769,7.811981734804925,-3.121415599334469,6.242831198668938,3.9059908674024624,350.5629371098312,10.225090695299983
5.698644152483995,-2.488866322974509,5.25906752793129,2.7297066637402123,7.490827564112875,-3.3123821641202107,6.624764328240421,3.7454137820564375,349.5958038024223,27.420051907556193
5.427900357258153,-2.637538036568528,5.538034990819664,2.617409041697629,7.149806877231034,-3.495721013549988,6.991442027099976,3.574903438615517,347.79645409698793,45.324396729987924
5.14498448432663,-2.7481522356807626,5.801856755909491,2.466712645041296,6.791986098463747,-3.6697726373126716,7.339545274625343,3.3959930492318735,345.1095138061555,62.12984907547591
4.848435507207312,-2.8814519384504402,6.051832839086971,2.3377593084413784,6.41653398325039,-3.834973651858409,7.669947303716818,3.208266991625195,341.5467305660704,79.71366566001635
4.539974294402186,-2.986892468954987,6.286563548752432,2.1848423223428854,6.025355685848194,-3.990460150753821,7.980920301507642,3.012677842924097,337.16411941388196,96.42964342942012
4.220055416196104,-3.0961078957477457,6.505634047178708,2.0354087504534903,5.618900826838738,-4.136059522605754,8.272119045211507,2.809450413419369,331.90316796716303,113.28628077390016
3.889552052108928,-3.1922717115522428,6.708470686645402,1.877030737824991,5.198414882511173,-4.271313694558337,8.542627389116674,2.5992074412555866,325.83684558349563,129.6809208009307
3.548893953298863,-3.2850849541835245,6.894744552132664,1.716514365811745,4.764510352107764,-4.3960050359575895,8.792010071915179,2.382255176053882,318.9214264731495,145.88690328922883
3.2003156088845572,-3.3589850409210755,7.063304587703744,1.5465506793457173,4.319423942182453,-4.509505982025664,9.019011964051328,2.1597119710912267,311.28979100536236,161.47923366789536
2.8430820587649883,-3.4410778567636497,7.214497274117404,1.3805386975558187,3.863015003468929,-4.611862830868183,9.223725661736365,1.9315075017344645,302.7523864614578,177.0334591980183
2.4793438800766228,-3.49808258207173,7.347455949328884,1.2041191733096237,3.3975366264738307,-4.70257229800268,9.40514459600536,1.6987683132369154,293.60848029118927,191.76155686302653
2.1090808157750978,-3.560069580185625,7.46216376643858,1.0297875512992463,2.9232787535237352,-4.781590774240219,9.563181548480438,1.4616393767618676,283.59295479715286,206.32653600353925
1.7335205726787721,-3.6041961391950297,7.558246868113748,0.8498344851483012,2.4418047305273514,-4.848649029832285,9.69729805966457,1.2209023652636757,272.96798387205496,220.16853697126106
1.3530608196793579,-3.646390814898795,7.635532431184039,0.669288732026512,1.9536522581282667,-4.903652792926675,9.80730558585335,0.9768261290641334,261.56266556437663,233.62394459454543
0.9704711300721798,-3.665408209911765,7.6935349090705225,0.48491220835829063,1.461557284641586,-4.946307974229645,9.89261594845929,0.730778642320793,249.68612616004583,246.2352636712028
0.5844589780590801,-3.696794460449896,7.732428966634449,0.3023103435246819,0.9651035700917678,-4.976659901454894,9.953319802909787,0.4825517850458839,236.90935801119085,258.6052718028216
0.1975527413729254,-3.69793091548348,7.751982413773966,0.11673215728324834,0.466770303884893,-4.9945501670173265,9.989100334034653,0.2333851519424465,223.83722361211534,269.9530112431079
-0.19123401760413244,-3.711279312046283,7.752127460236425,-0.06858537037966322,-0.03397501927314903,-4.999971142368358,9.999942284736717,-0.016987509636574517,209.85959020289715,281.00636465252666
