Img TS,Enc TS,Encoder counts 1,Encoder counts 0,yaws,pitches
1746051734.936452,1746051734.940189,-327,-119,-11.870665117744402,-7.794889246963436
1746051735.1404653,1746051735.1439152,-338,-97,-10.107325405463612,-7.693767875822019
1746051735.3386211,1746051735.342116,-345,-63,-9.86357108994838,-7.50258184050162
1746051735.5380392,1746051735.5412076,-349,-29,-8.350192182509193,-7.369058820332484
1746051735.740213,1746051735.7434332,-350,5,-7.8627730711121915,-7.167984389463896
1746051735.9385085,1746051735.9417758,-345,55,-6.346774774821393,-7.4145954068646205
1746051736.1420195,1746051736.1453369,-344,86,-6.337174779491944,-7.454334040482607
1746051736.3393226,1746051736.3431892,-331,112,-5.535882813268554,-6.79185327706557
1746051736.5382965,1746051736.5416102,-317,141,-5.615472068338205,-6.511103792585757
1746051736.7410066,1746051736.7445216,-300,181,-5.120691996949161,-6.124955313220198
1746051736.9363503,1746051736.939381,-281,205,-6.081840975784882,-5.7557302951600064
1746051737.1370554,1746051737.1403444,-257,233,-5.284449900241866,-5.332100687726253
1746051737.3341658,1746051737.33743,-233,260,-4.642590336104214,-4.6338643001993205
1746051737.5380087,1746051737.5410185,-208,280,-4.610294874281418,-4.323347218105297
1746051737.7410655,1746051737.7465248,-180,301,-3.9567353729071177,-4.15987025071334
1746051737.9391408,1746051737.9427507,-149,318,-4.12071549820474,-3.8919678885258264
1746051738.141796,1746051738.1455138,-115,332,-3.970682151016609,-3.469247929416724
1746051738.3400826,1746051738.3432658,-83,340,-4.489629546549128,-2.6925684518495387
1746051738.5393877,1746051738.5430305,-47,346,-3.647524536871054,-2.707541696660172
1746051738.7404606,1746051738.7451558,-15,351,-3.220209403233894,-2.5034007205057662
1746051738.9367735,1746051738.940036,22,351,-2.9751081039235503,-1.5852822892987746
1746051739.138379,1746051739.1417885,54,351,-2.9423139373553973,-2.042699898350264
1746051739.3398287,1746051739.344366,91,339,-2.7087566957793943,-1.7161037197412412
1746051739.5375664,1746051739.540902,124,329,-2.605986957568623,-1.610696893654037
1746051739.7415,1746051739.7454312,155,317,-2.6713293498363253,-1.5318942446670576
1746051739.9388573,1746051739.9424756,187,289,-2.505167393979181,-1.6133975644441279
1746051740.1378844,1746051740.1415126,216,279,-2.6798825916674955,-1.2416001566995902
1746051740.340715,1746051740.344132,242,252,-3.2308392617719743,-1.0884206098015028
1746051740.5390108,1746051740.542663,268,223,-3.8096933715084207,-0.5799211533980895
1746051740.7373965,1746051740.7405765,288,202,-4.52920188525698,-0.21618845181905044
1746051740.9384954,1746051740.9419262,306,168,-5.372824752259415,0.5309349734607167
1746051741.1386003,1746051741.1421776,320,137,-6.038243856995535,0.5978854758969874
1746051741.3382835,1746051741.3418689,335,110,-6.889468780805506,1.328049506813926
1746051741.537874,1746051741.5412352,343,73,-7.268040461979581,1.0730046766245351
1746051741.742021,1746051741.746317,348,43,-7.647322672765876,1.3292981928996284
1746051741.9358091,1746051741.939678,350,9,-8.98524064746255,1.332040634544441
1746051742.13755,1746051742.141147,351,-43,-9.93161693349063,1.4337007396491686
